tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
0,2009-07-10,46-QKG-9886,SAAB,S2,2015,71836,3528,1591
1,2014-01-02,56-TBT-2454,BMW,X3,2002,38138,4175,1473
2,2009-07-27,45-JDE-4360,FIAT,500L,2012,175971,991,1857
3,2008-07-02,74-XOU-6492,TESLA,T2,2007,34016,6734,786
4,2019-08-16,58-PRD-6845,TOFAS,SAHIN,2003,33908,2773,683
5,2006-03-19,71-TAO-8835,PEUGEOT,306,2003,23129,4927,1113
6,2002-06-17,07-AXJ-4435,PEUGEOT,206,2007,20445,8577,1085
7,2015-10-15,21-LTM-5090,TESLA,T2,2013,4551,5910,370
8,2008-11-11,08-PWF-3230,MERCEDES,E200,2017,169836,616,279
9,2017-10-05,24-LIP-6439,FORD,FIESTA,2000,56275,1708,1127
10,2016-03-04,28-XTW-4965,VOLVO,V1,2001,20624,543,1546
11,2011-04-18,46-ZDW-9510,VOLVO,V4,2010,65191,3265,539
12,2010-03-29,02-FLR-538,VOLVO,V4,2007,129356,5506,1931
13,2001-08-02,56-AIN-1990,TOFAS,SAHIN,2006,129181,738,595
14,2003-03-14,68-USQ-9243,VOLVO,V1,2016,7695,920,1166
15,2000-03-10,17-NES-309,FIAT,500L,2006,63419,3211,957
16,2002-02-13,58-PRB-547,VOLKSWAGEN,JETTA,2011,17376,6658,1259
17,2002-06-08,50-SAH-9108,VOLVO,V1,2002,117955,4773,841
18,2015-09-30,10-LKG-2908,VOLKSWAGEN,POLO,2007,17871,4919,1509
19,2006-11-04,50-EUW-4555,SAAB,S1,2010,14869,3873,1589
20,2009-01-07,66-YUX-3029,FORD,FOCUS,2004,20097,6617,441
21,2020-02-12,57-FIW-1298,PEUGEOT,306,2019,131849,3731,1460
22,2010-05-06,32-GFV-1693,TESLA,T4,2004,138740,4523,1727
23,2000-02-16,62-KBS-9300,TESLA,T3,2007,21980,504,262
24,2007-07-03,27-ILH-4064,TESLA,T2,2014,141673,7157,1221
25,2011-05-10,07-AIW-4432,TOFAS,DOGAN,2000,192223,9965,1699
26,2003-09-04,05-LKA-3776,TOFAS,KARTAL,2006,3497,1813,445
27,2004-05-31,10-NKD-3905,TOFAS,DOGAN,2009,87596,6407,1714
28,2002-05-11,44-NHC-5549,PEUGEOT,206,2016,77554,1398,1267
29,2009-01-06,76-GER-8325,AUDI,A6,2017,120057,4202,1534
30,2005-09-05,46-XRR-4831,FORD,FOCUS,2003,166115,7160,1903
31,2010-07-31,33-EUX-4842,VOLVO,V4,2014,119936,8530,312
32,2017-02-12,36-SGF-9732,VOLKSWAGEN,JETTA,2017,181716,9755,480
33,2006-06-13,74-VQX-804,FORD,FIESTA,2005,157160,4577,299
34,2015-04-30,78-MQE-7635,FIAT,EGEA,2008,192431,9783,503
35,2009-01-25,39-ETP-1421,MERCEDES,S600,2003,92710,1661,858
36,2015-12-19,76-HNV-1071,SAAB,S4,2009,121492,2158,489
37,2005-04-23,38-SKR-7256,MERCEDES,E200,2002,20699,8915,1921
38,2016-09-05,06-FPL-2200,VOLVO,V1,2004,173046,1673,1390
39,2010-09-16,47-XGV-9483,MERCEDES,S350,2006,183452,2447,1058
40,2003-07-21,79-WWV-3488,AUDI,Q3,2018,93798,2384,490
41,2015-04-01,20-AOI-195,FIAT,500,2013,190780,6426,1357
42,2003-10-01,62-LJE-6027,PEUGEOT,306,2007,14156,3170,387
43,2016-03-23,13-LKM-514,FORD,KA,2006,106889,8697,1676
44,2004-07-28,80-ZSJ-3146,SAAB,S4,2012,67582,2270,1582
45,2001-09-01,46-ODX-2898,FIAT,500L,2017,53730,3361,1715
46,2003-01-22,76-VJQ-1493,AUDI,A6,2004,59375,7271,641
47,2008-01-08,26-GMJ-6842,VOLVO,V4,2006,195663,5036,1153
48,2019-09-19,32-ODJ-248,SAAB,S4,2004,36584,4831,1461
49,2018-02-07,22-RSW-8289,AUDI,Q5,2012,67593,7210,1629
