id,tarih,plaka,marka,model,uretim_tarihi,km,parca_adi,parca_fiyat,iscilik_fiyat
0,2018-02-21,66-HKH-8062,MERCEDES,C180,2001,75052,BALATA,699,1128
1,2019-02-10,29-WKR-2407,FIAT,500L,2003,12543,DEBRIYAJ RULMANI,694,310
2,2019-06-11,30-NNT-730,TESLA,T1,2010,6386,DEBRIYAJ RULMANI,694,1351
3,2018-02-15,40-ZLV-4977,BMW,X7,2005,104649,DEBRIYAJ RULMANI,694,1976
4,2019-10-16,30-DLR-7635,FORD,FOCUS,2016,96709,DEBRIYAJ RULMANI,694,813
5,2019-06-27,55-OAG-2370,SAAB,S2,2016,87407,DEBRIYAJ RULMANI,694,400
6,2019-12-24,12-RQD-3505,VOLKSWAGEN,PASSAT,2006,43402,DIREKSIYON POMPASI,801,1486
7,2018-05-23,46-ZTL-7302,PEUGEOT,306,2006,185337,DEBRIYAJ RULMANI,694,809
8,2018-02-24,69-PKV-7219,VOLVO,V4,2006,40650,DEBRIYAJ RULMANI,694,657
9,2019-03-18,37-LWM-2311,AUDI,A6,2015,178848,DEBRIYAJ RULMANI,694,1634
10,2018-07-21,13-GQI-7382,FIAT,500L,2014,144578,BALATA,699,1286
11,2018-09-24,32-SDE-1942,SAAB,S3,2012,68735,DIREKSIYON POMPASI,801,591
12,2019-03-10,41-CPE-7322,BMW,X3,2011,17356,BALATA,699,537
13,2019-02-12,22-IRG-44,SAAB,S4,2015,55298,DIREKSIYON POMPASI,801,1854
14,2018-08-19,25-TIO-8144,VOLVO,V3,2012,1031,DIREKSIYON POMPASI,801,893
15,2018-10-12,44-RGU-758,SAAB,S4,2012,169880,DIREKSIYON POMPASI,801,707
16,2019-12-13,22-RAT-4001,BMW,X7,2015,157181,DEBRIYAJ RULMANI,694,860
17,2018-02-03,32-XHZ-8336,FIAT,500,2005,68133,DEBRIYAJ RULMANI,694,461
18,2019-11-11,61-ZCM-4018,SAAB,S3,2011,139027,BALATA,699,1150
19,2018-07-30,57-SJH-2101,VOLVO,V2,2011,164555,DEBRIYAJ RULMANI,694,1229
20,2019-05-31,52-ILP-4407,TOFAS,DOGAN,2012,74451,DEBRIYAJ RULMANI,694,447
21,2018-03-08,02-ICG-6574,FIAT,500L,2013,156913,BALATA,699,1687
22,2019-09-14,35-YAG-8266,FORD,KA,2008,123095,DIREKSIYON POMPASI,801,306
23,2018-04-13,81-OIY-1077,SAAB,S4,2000,32185,DIREKSIYON POMPASI,801,688
24,2019-05-26,49-PNU-3672,TESLA,T2,2004,47101,DEBRIYAJ RULMANI,694,545
25,2019-07-22,73-FGM-8628,FIAT,500L,2001,183038,DEBRIYAJ RULMANI,694,1968
26,2019-06-20,66-JBM-1448,VOLKSWAGEN,JETTA,2005,26448,DIREKSIYON POMPASI,801,703
27,2019-07-14,54-LSU-3749,FORD,KA,2003,109874,DEBRIYAJ RULMANI,694,281
28,2019-10-22,46-WOX-2447,TOFAS,SAHIN,2016,103278,DIREKSIYON POMPASI,801,1156
29,2018-09-16,36-KKU-8769,FIAT,DOBLO,2008,14646,DEBRIYAJ RULMANI,694,904
30,2019-06-06,19-TOL-608,AUDI,Q3,2007,15639,DEBRIYAJ RULMANI,694,1538
31,2019-06-05,27-FUQ-5338,VOLKSWAGEN,POLO,2001,60157,DEBRIYAJ RULMANI,694,1443
32,2019-03-24,53-NRI-3118,TOFAS,SAHIN,2007,84552,BALATA,699,1692
33,2018-12-12,40-XSJ-325,VOLKSWAGEN,JETTA,2012,125769,DIREKSIYON POMPASI,801,1875
34,2018-07-23,08-DOB-7291,BMW,X7,2000,69652,BALATA,699,261
35,2018-09-29,25-VJT-1705,PEUGEOT,306,2000,43261,BALATA,699,1124
36,2018-01-05,49-DXZ-7512,TESLA,T4,2002,167019,DEBRIYAJ RULMANI,694,1207
37,2018-07-31,39-HDO-1186,TOFAS,DOGAN,2007,53307,DIREKSIYON POMPASI,801,312
38,2018-08-17,27-CMG-9408,VOLKSWAGEN,POLO,2014,170247,BALATA,699,1681
39,2019-04-23,44-TEZ-2577,VOLVO,V1,2004,35106,BALATA,699,1564
40,2019-01-01,80-SEX-8139,SAAB,S1,2013,98562,BALATA,699,1651
41,2018-11-03,17-NVN-990,MERCEDES,E200,2011,60752,DIREKSIYON POMPASI,801,398
42,2018-05-21,13-QLL-8185,FIAT,500,2014,162209,BALATA,699,1704
43,2018-03-13,41-MAV-3973,FORD,FOCUS,2011,41687,BALATA,699,1302
44,2019-05-20,77-CGV-179,PEUGEOT,306,2016,61249,DIREKSIYON POMPASI,801,1720
45,2019-02-14,52-QTH-8972,TOFAS,DOGAN,2015,127433,DIREKSIYON POMPASI,801,1262
46,2019-03-30,40-OOM-9234,AUDI,Q7,2002,86903,DEBRIYAJ RULMANI,694,1655
47,2018-07-24,03-EIV-4213,MERCEDES,S600,2015,93005,BALATA,699,699
48,2018-08-23,44-IJO-4643,VOLKSWAGEN,PASSAT,2011,177808,DIREKSIYON POMPASI,801,1451
